feature,importance
range_delta,0.7362293601036072
rms_delta,0.08080388605594635
std_delta,0.045446477830410004
max_rise_rate,0.02050253003835678
skewness,0.01580258645117283
baseline_drift,0.013349799439311028
fall_time_sec,0.013211065903306007
max_fall_rate,0.011640784330666065
time_to_peak_sec,0.008514279499650002
blow_duration_sec,0.00840486865490675
spec_entropy,0.008396068587899208
rise_to_fall_ratio,0.005118318367749453
baseline_std,0.004003113601356745
peak_delta,0.0036545167677104473
baseline_mean,0.0035132088232785463
median_delta,0.0031537911854684353
spec_centroid_hz,0.0031384725589305162
auc_above_baseline,0.0027792691253125668
mean_delta,0.0023198635317385197
time_above_50_pct_sec,0.0023016079794615507
derivative_std,0.002143321791663766
mean_rise_rate,0.0019105809042230248
kurtosis,0.0017244481714442372
rise_time_sec,0.0013068256666883826
auc_total,0.0006309975287877023
baseline_stability,0.0
dom_freq_hz,0.0
signal_quality_score,0.0
