feature,importance
spo2_pathology_prob,0.17865459620952606
pressure_risk_score,0.16824372112751007
questionnaire_risk_score,0.13328102231025696
sound_confidence,0.1308663785457611
questionnaire_score,0.12545794248580933
spo2_risk_score,0.08162792772054672
pressure_peak_cmh2o,0.0697454959154129
pressure_peak_delta,0.0531039796769619
spo2_r_ratio,0.013187899254262447
phlegm,0.011449833400547504
sound_abnormal_prob,0.010598896071314812
sound_risk_score,0.010028415359556675
spo2_value,0.007001732476055622
pressure_blow_duration,0.006752206943929195
spo2_heart_rate,0.0
spo2_quality_score,0.0
spo2_is_missing,0.0
pressure_quality_score,0.0
pressure_is_missing,0.0
sound_is_missing,0.0
patient_age,0.0
smoking_pack_years,0.0
biomass_exposure,0.0
breathlessness,0.0
chronic_cough,0.0
wheezing,0.0
questionnaire_is_missing,0.0
valid_modalities_count,0.0
screening_completeness_ratio,0.0
