feature,importance
ppg_dominant_freq_hz,0.318584
ppg_variance,0.15169302
ppg_std,0.13062528
ppg_pulse_interval_mean,0.120118596
ppg_skewness,0.063013725
ppg_iqr,0.057802577
ppg_pulse_rate_bpm,0.043326966
ppg_spectral_centroid_hz,0.03102937
ppg_spectral_entropy,0.03044231
ppg_pulse_amplitude_std,0.016234541
ppg_median,0.01349954
ppg_pulse_amplitude_mean,0.00837902
ppg_rms,0.0077299494
ppg_spectral_energy,0.0063796053
ppg_mean,0.0011415237
ppg_ptp,0.0
ppg_max,0.0
ppg_min,0.0
ppg_kurtosis,0.0
ppg_pulse_interval_std,0.0
ppg_pulse_count,0.0
ppg_ac_approx,0.0
ppg_dc_approx,0.0
